Dates,logret_rep,logret_dem,SPX Index,Party
4/13/82,-0.014166682,0.002550541,-8.62E-05,0
4/14/82,-0.005520276,-0.001880969,-0.001380382,0
4/15/82,0.001414622,0.007222626,0.004479291,0
4/16/82,0.007125509,-0.001368626,0.003945793,0
4/19/82,-0.006478026,0.003286705,-0.000942144,0
4/20/82,-0.007705425,-0.00658277,-0.010855625,0
4/21/82,0.003168491,0.002975319,0.002422566,0
4/22/82,0.018624414,0.007344474,0.012623069,0
4/23/82,0.021444536,0.006331999,0.012297149,0
4/26/82,-0.000988038,0.013914618,0.005212286,0
4/27/82,-0.012586201,-0.006780092,-0.010621359,0
4/28/82,-0.00979939,-0.004700712,-0.006290933,0
4/29/82,-0.00715633,0.00576477,-0.009683438,0
4/30/82,0.013348037,0.007161656,0.002665866,0
5/3/82,-0.006903122,0.003029292,0.003172564,0
5/4/82,-0.001601684,0.015465787,0.005549167,0
5/5/82,0.009657422,0.005660471,0.001786246,0
5/6/82,0.019625686,0.007858334,0.008546699,0
5/7/82,0.02980999,-0.00611646,0.006634498,0
5/10/82,-0.006443054,-0.016063391,-0.009165505,0
5/11/82,0.00816172,0.006709774,0.008746902,0
5/12/82,-0.010875784,0.001195699,-0.002095646,0
5/13/82,-0.010403772,-0.008938464,-0.00800375,0
5/14/82,-0.006254334,-0.011774471,-0.001777929,0
5/17/82,-0.017576134,-0.003871819,-0.011077141,0
5/18/82,-0.005769838,-0.011146824,-0.007482297,0
5/19/82,-0.013134979,0.000906064,-0.00823478,0
5/20/82,-0.002719477,-0.007354526,-0.002614608,0
5/21/82,0.006661468,0.005780257,0.002614608,0
5/24/82,0.002092332,-0.002095914,-0.000870777,0
5/25/82,0.009287038,-0.001639448,-0.003403293,0
5/26/82,-0.018737334,-0.003102199,-0.011340282,0
5/27/82,-0.011021271,0.004726971,-0.003986363,0
5/28/82,-0.020170983,-0.006681395,-0.006947565,0
5/31/82,0,0,0,0
6/1/82,-0.000587518,-0.000501322,-0.001789229,0
6/2/82,0.009356833,0.003794596,0.003218311,0
6/3/82,0.004490775,0.006570631,-0.001607861,0
6/4/82,-0.015749411,-0.009173593,-0.015949876,0
6/7/82,0.001042513,-0.001405644,0.000272467,0
6/8/82,0.001113629,-0.004214088,-0.004459621,0
6/9/82,-0.012672526,0.000565918,-0.005854925,0
6/10/82,-0.00640741,0.009573173,0.005672476,0
6/11/82,0.014969084,0.010535548,0.014761418,0
6/14/82,-0.028608518,-0.011728789,-0.011573366,0
6/15/82,-0.017856057,-0.001115428,0,0
6/16/82,-0.022468942,-0.000830427,-0.009962153,0
6/17/82,-0.007442105,-0.007426856,-0.011733862,0
6/18/82,-0.002311237,-0.011017768,-0.002978409,0
6/21/82,0.001775133,-0.002213017,-0.00074599,0
6/22/82,-0.002012272,0.01651362,0.010208905,0
6/23/82,0.023189896,0.015692786,0.01684713,0
6/24/82,-0.003470073,0.016776436,-0.002818568,0
6/25/82,-0.010105694,-0.001790641,-0.006302254,0
6/28/82,0.013025449,0.010535946,0.010209751,0
6/29/82,-0.011209366,-0.000430963,-0.000453576,0
6/30/82,-0.020374438,0.001237599,-0.005459025,0
7/1/82,-0.013027427,-0.004391619,-0.008244825,0
7/2/82,-0.003892197,-0.001453704,-0.009798562,0
7/5/82,0,0,0,0
7/6/82,-0.014095399,2.86E-05,-0.003349775,0
7/7/82,0.004770541,-0.001719496,-0.00065265,0
7/8/82,0.012528403,-0.006322267,0.00288708,0
7/9/82,-0.001341466,0.006554709,0.012017153,0
7/12/82,-0.010290058,0.011438259,0.006776583,0
7/13/82,-0.01537115,-0.003820813,-0.00109579,0
7/14/82,0.017499039,0.008777094,0.009004563,0
