Dates,HON,AMZN,GOOG,CVX,COP,FB,MRO,MRK,C,PYPL,CRM,AXP,QCOM,V,GILD,Party
1974-11-27,0.386452407,,,0.074291572,,,0.285096347,0.338208228,,,,0.19127062,,,,0
1974-11-28,0.386452407,,,0.074291572,,,0.285096347,0.338208228,,,,0.19127062,,,,0
1974-11-29,0.395509928,,,0.072995804,,,0.282363743,0.343218565,,,,0.19127062,,,,0
1974-12-02,0.386452407,,,0.071700007,,,0.276898623,0.328813344,,,,0.182374313,,,,0
1974-12-03,0.374375731,,,0.070836186,,,0.271433651,0.321297675,,,,0.177036703,,,,0
1974-12-04,0.380414069,,,0.071700007,,,0.274165988,0.327560723,,,,0.179705575,,,,0
1974-12-05,0.374375731,,,0.072131984,,,0.265968531,0.315660924,,,,0.167250574,,,,0
1974-12-06,0.360789508,,,0.070836186,,,0.264146864,0.30313459,,,,0.167250574,,,,0
1974-12-09,0.347203255,,,0.072563902,,,0.260503381,0.315660924,,,,0.169029966,,,,0
1974-12-10,0.359280199,,,0.075155497,,,0.265968531,0.326934367,,,,0.173478082,,,,0
1974-12-11,0.365318209,,,0.077315152,,,0.26687935,0.335702926,,,,0.180595085,,,,0
1974-12-12,0.353241593,,,0.079474755,,,0.270522773,0.331945002,,,,0.180595085,,,,0
1974-12-13,0.347203255,,,0.077315152,,,0.267790169,0.33382386,,,,0.177926198,,,,0
1974-12-16,0.348713011,,,0.077315152,,,0.26687935,0.32943964,,,,0.177926198,,,,0
1974-12-17,0.353241593,,,0.079042822,,,0.271433651,0.335702926,,,,0.181484878,,,,0
1974-12-18,0.363808692,,,0.07861086,,,0.274165988,0.335702926,,,,0.188601762,,,,0
1974-12-19,0.368337512,,,0.075155497,,,0.275076985,0.334450155,,,,0.188601762,,,,0
1974-12-20,0.356260955,,,0.075155497,,,0.273255497,0.333197683,,,,0.180595085,,,,0
1974-12-23,0.335126847,,,0.073859699,,,0.270522773,0.334450155,,,,0.171698794,,,,0
1974-12-24,0.335126847,,,0.076019347,,,0.269611984,0.338208228,,,,0.176146969,,,,0
1974-12-25,0.335126847,,,0.076019347,,,0.269611984,0.338208228,,,,0.176146969,,,,0
1974-12-26,0.332107484,,,0.076019347,,,0.274165988,0.32943964,,,,0.180595085,,,,0
1974-12-27,0.329088062,,,0.07558737,,,0.275076985,0.32067126,,,,0.179705575,,,,0
1974-12-30,0.31399253,,,0.075155497,,,0.274165988,0.319418728,,,,0.179705575,,,,0
1974-12-31,0.342674613,,,0.076883189,,,0.276898623,0.332571298,,,,0.185043201,,,,0
1975-01-01,0.342674613,,,0.076883189,,,0.276898623,0.332571298,,,,0.185043201,,,,0
1975-01-02,0.353241593,,,0.08163438,,,0.280542105,0.336955518,,,,0.188601762,,,,0
1975-01-03,0.34418413,,,0.081202492,,,0.2887398,0.338834316,,,,0.19127062,,,,0
1975-01-06,0.34418413,,,0.080338582,,,0.287828922,0.338834316,,,,0.19127062,,,,0
1975-01-07,0.347203255,,,0.080770515,,,0.287828922,0.331945002,,,,0.18949154,,,,0
1975-01-08,0.335126847,,,0.079906672,,,0.286918193,0.326934367,,,,0.182374313,,,,0
1975-01-09,0.339655489,,,0.082930177,,,0.290561795,0.32067126,,,,0.18949154,,,,0
1975-01-10,0.362299204,,,0.085521676,,,0.298759222,0.318792403,,,,0.197498113,,,,0
1975-01-13,0.341165125,,,0.082498252,,,0.29420504,0.315034509,,,,0.193049893,,,,0
1975-01-14,0.332107484,,,0.079474755,,,0.291472286,0.308145106,,,,0.193939611,,,,0
1975-01-15,0.335126847,,,0.079474755,,,0.297848374,0.309397876,,,,0.201946378,,,,0
1975-01-16,0.338145792,,,0.07861086,,,0.296937555,0.308145106,,,,0.204615161,,,,0
1975-01-17,0.329088062,,,0.077747047,,,0.298759222,0.294992566,,,,0.194829136,,,,0
1975-01-20,0.341165125,,,0.078179017,,,0.297848374,0.29436633,,,,0.195719004,,,,0
1975-01-21,0.34418413,,,0.079042822,,,0.297848374,0.294992566,,,,0.19127062,,,,0
1975-01-22,0.34418413,,,0.082498252,,,0.296937555,0.307518959,,,,0.181484878,,,,0
1975-01-23,0.353241593,,,0.082930177,,,0.306046039,0.307518959,,,,0.181484878,,,,0
1975-01-24,0.368337512,,,0.085953735,,,0.317887217,0.311903149,,,,0.188601762,,,,0
1975-01-27,0.386452407,,,0.089409105,,,0.326084703,0.322550386,,,,0.19038102,,,,0
